,u20,u25,u30,u35,u40,u45,u50,u55,u60,u65,u70,u75,u80,u85,u90,u95,u100,u105,u110,u115,u120,u125,u130,u135,u140,u145,u150,u155,u160,u165,u170,u175,u180,u185,u190,u195,u200,u205,u210,u215,u220,u225,u230,u235,u240,u245,u250,v20,v25,v30,v35,v40,v45,v50,v55,v60,v65,v70,v75,v80,v85,v90,v95,v100,v105,v110,v115,v120,v125,v130,v135,v140,v145,v150,v155,v160,v165,v170,v175,v180,v185,v190,v195,v200,v205,v210,v215,v220,v225,v230,v235,v240,v245,v250,macro_u,macro_v,macro_wd_str,macro_ws_str
122,5.324125254424356,5.470700872052252,6.010278091202929,6.487060635852268,6.849963735237733,7.11816242839374,7.3555328386539305,7.590449710733486,7.801264324561336,8.002553337132202,8.22405883746193,8.435352266187719,8.603072379426656,8.818060550209271,8.970856965807613,9.055088419764289,9.227623334351653,9.348984150523027,9.437773392113257,9.55806619458365,9.61255751314199,9.645393244139374,9.702961042425894,9.771370455661993,9.792713450460901,9.84111672844638,9.870477803580515,9.8734977336272,9.860632297208316,9.844910047524937,9.844568859311241,9.800578560965082,9.852732691831587,9.908449024563216,9.952595572411301,9.957657890238611,10.000023148073764,10.037979870178539,10.03781985924076,10.117777456367158,10.160194838745882,10.199676651957141,10.21464118820828,10.262873867244,10.235813762779983,10.197607905859588,10.179729649495094,1.1005996081551488,1.1291656612986611,1.2636228507720748,1.2962941463164388,1.2947515911171803,1.259287728603296,1.2448631868747513,1.2127680579655409,1.1667021693883086,1.1609056006641103,1.117796709106239,1.0934704321442736,1.0490791132321353,0.9630156227670699,0.9106277623570784,0.797515668320186,0.6971951475261577,0.6173222269233458,0.48866872772160574,0.41283869016205554,0.2611748563177172,0.13229913376299773,0.0038662313071102794,-0.18414463399169279,-0.2600168087317536,-0.36503422154904586,-0.47429838835559823,-0.6193955280024319,-0.7457222206281466,-0.8796373574659759,-0.9614944467716373,-1.0603573692240782,-1.1263638761327288,-1.1626061456816343,-1.2368124342652373,-1.2700049346531639,-1.262112472959446,-1.2702813011786716,-1.2873780596946112,-1.3234341529492288,-1.2913483347739148,-1.2726608357387894,-1.2716087327447751,-1.306068865467146,-1.2996938652963046,-1.3295396423838322,-1.3536237353652243,5.233793774559927,0.9082385304257079,W,"(2.235, 5.364]"
176,6.851479583634178,6.989708230555406,7.277903473259247,7.502814370244517,7.66011206075518,7.826375296352868,7.953438163443595,8.065512243059208,8.142657048050268,8.194404785012715,8.26760429392067,8.314725210090973,8.317049090232059,8.362279237666959,8.401893393935481,8.414706997220387,8.441238959089002,8.448732160911105,8.45260202386184,8.455581142012544,8.416689549708565,8.388936371644371,8.338305533120769,8.336340617971423,8.308460045259029,8.299170590638417,8.313331624303354,8.33634784498202,8.27226260258576,8.266093198787871,8.275992944990385,8.331281161563775,8.40885582642165,8.418564657292247,8.47850496744825,8.530363416210214,8.609623194511967,8.642023142834043,8.731336476901356,8.814999217390397,8.859842022998727,8.891327864847895,8.999993018674827,9.031890832825525,8.997573128131505,8.984726883880397,8.942004995937088,2.084636864411776,2.1040181286853707,2.158970425532955,2.157435016119747,2.1522572695456432,2.1476425383853077,2.1484088202710807,2.1409428513410895,2.086245991100983,2.067025583816863,2.0024156196465928,1.949571754768925,1.8943985151886156,1.8032513054164963,1.7878819747884953,1.7317922850261116,1.6884772933506211,1.6384083755845835,1.5983704608965215,1.5245243597603042,1.4805486893592792,1.390438841565583,1.2873666781373347,1.2000581713425826,1.1464839558150057,1.1023165571681366,1.043895214889785,0.9761788034647972,0.8872924117930807,0.8245397209569305,0.7692759037306114,0.7110709101287824,0.6671351912533434,0.5704763937475061,0.5525596066980245,0.5089500985881148,0.5063595344219176,0.45417503864307984,0.4311402449200554,0.3763965022187903,0.32647008337825545,0.30911573137740533,0.2975718824141753,0.2763883525555211,0.27900308535044793,0.2634215642198079,0.26106869021559165,4.877267498060705,1.8297003447990723,W,"(2.235, 5.364]"
228,3.323562613419479,3.447404126623478,4.1402788079635915,4.751240714308404,5.19335255124032,5.437760847143633,5.667180342859568,5.9171084184672935,6.100478856542173,6.39473442112118,6.685297306341654,6.941187638465722,7.183881803246392,7.483713452335672,7.667595097634317,7.822858620576722,8.115021543162163,8.348334275829114,8.546290754984344,8.815644836294908,9.007568809548298,9.166185826774658,9.354697202863168,9.537239813431032,9.660992774389452,9.913600972820522,10.051332392241797,10.339659881640792,10.361216086187245,10.555307350385572,10.753883687749694,10.992233018690234,11.219099074827994,11.4223152722721,11.6938224057659,11.88578779744023,12.204130182402945,12.4493050273716,12.780626042734067,13.073271553736044,13.250954583081501,13.50455121645799,13.545943208694277,13.656047353918062,13.707177624220629,13.6982162088391,13.675427485983874,0.9031019977321268,0.8891124141887721,1.1217499720152702,1.1866636028690185,1.1275671553305813,1.0808853129805334,1.0492703672516108,1.0518947589169425,0.9984218973872645,1.004230848599565,1.0042592682110407,1.0048637180954472,1.0133842636785546,0.9703946484922454,0.9239278849299366,0.7994436968748087,0.7445531856319065,0.6952260252895608,0.5384312902304047,0.5015205529853934,0.43848610500405094,0.3576565144299866,0.23879299426242806,0.14105343948180105,0.1099016769671064,0.08346187763282731,0.03830788932145279,-0.011434306096338442,-0.03513413922726927,-0.07395213036786807,-0.018676954828870773,-0.017435455690004487,0.03839056315728362,0.15449346227704286,0.15327852235946193,0.2482055906255054,0.41866692011019735,0.5696033588916087,0.6353757830045115,0.7013268194465192,0.8415450717894928,0.9333523429726804,1.000456209082555,0.973102977216945,1.0388144090405025,0.9673257717691728,0.9017954317417363,4.4641933268880996,1.0435998475209647,W,"(2.235, 5.364]"
323,4.438951948060485,4.592977252382775,5.074607305173238,5.583226841306342,6.022854540091944,6.335795155332435,6.578695773628497,6.869080864222142,7.113711650246872,7.3847880812416475,7.638803723881244,7.831167522518832,7.996962388271039,8.220224430611644,8.409619340289474,8.55403163019803,8.752456138724243,8.886180103578463,8.935537138811187,8.97253406131651,8.94594947859472,8.918532466670582,8.902931943421814,8.919736326071362,8.90869770724802,8.806000685238958,8.702589649078147,8.506018050445022,8.418867423492856,8.338397264111515,8.235118698218892,8.01552171763061,7.967328461082752,8.060727705853221,8.012700766336096,7.993902290949915,8.032358343929547,8.07150354722022,7.951009820891796,8.02941167777368,8.114702471700904,8.177898927161912,8.154366664165732,8.173599579199553,8.191863830643468,8.156988678008592,8.199970088334918,2.210214706711862,2.2498871069220305,2.408968188178577,2.547583739841281,2.5892221166875005,2.649383782287099,2.7174009224907376,2.75653401410563,2.806770030541422,2.822918726437389,2.8050033036090865,2.752455308500954,2.7963699880603436,2.7537397272370745,2.7081700237794464,2.621194360173752,2.620502864479155,2.604939502283776,2.4523390447098214,2.357099868542946,2.181862581663886,2.078021856826045,1.9565039022121788,1.8086756019412373,1.7888916691281842,1.7269790948712487,1.6642734146780702,1.6243028009540057,1.5142091933125026,1.4987786872924946,1.5215382373709478,1.5428644441198864,1.6590667366146516,1.9263737181684575,1.9991028327465346,2.1833662018168214,2.441127767824752,2.802433248686703,3.0626324228625137,3.2748190860662962,3.645991353532709,3.8974782222098754,4.123403060641895,4.187182072471042,4.342490480226264,4.311287806880361,4.3422230965937265,4.875084501282258,1.7072703974915142,W,"(2.235, 5.364]"
345,4.39769223334318,4.531292837060325,5.098937104817501,5.628857734284454,5.990031511134473,6.207330644946819,6.407254484069013,6.630782261826419,6.755169034752342,6.990579234777,7.233065350823495,7.4213188006944915,7.5750942981223925,7.799116407131532,7.930740946285033,8.070714574304558,8.289132322218126,8.463620640067727,8.577182047992276,8.758593436726603,8.849900628014403,8.936614351390304,9.032387417943836,9.159125358593077,9.214219963435607,9.376218559712981,9.456828274715523,9.747905625730255,9.647232515546358,9.831236689091646,10.023324048260715,10.311809613994535,10.587367005252393,10.760167583590041,11.089674562042177,11.35272647558698,11.782082032379986,12.08603731597147,12.572495671053126,12.960362079644387,13.223917721548698,13.542924827970996,13.676017188542996,13.797935639151731,13.853563325494962,13.875406826691492,13.85625721814632,2.5962325743587655,2.5644746256728927,2.767152459472292,2.831893757277143,2.78610918443106,2.7580203998689767,2.7425560952631605,2.7457191166686035,2.6712531314355483,2.6491512563768476,2.6095970350694957,2.5607501745481698,2.560427168619847,2.4707051910231197,2.396278551085134,2.2608233430339166,2.2119326639053156,2.1327318619621676,1.935745589188702,1.8144233232347382,1.739219251038563,1.6117691248377806,1.4293159531025021,1.3029545857209488,1.2223169315772022,1.178497137749865,1.0805285854391864,1.0365758550454642,0.9685043803794116,0.947945394534481,1.0047544381375975,1.0127618192739378,1.1123680757385799,1.2606993014823313,1.325800558946592,1.4744642897079347,1.7487753962720372,1.9945175624762699,2.150806048817322,2.2937310115992275,2.511124217964408,2.6843666694805366,2.7943924606402932,2.788986165617292,2.905695188515481,2.838641529408717,2.81642375212055,4.890171226764737,1.6416600045238687,W,"(2.235, 5.364]"
382,6.824522531324037,6.981546358505342,7.273041222794253,7.605426478159988,7.869538692920834,8.126559670583942,8.326742016584033,8.529775427748662,8.677030585048298,8.795087692671736,8.952912650798206,9.074623232904827,9.100199266177627,9.206132273066306,9.28128854333631,9.318614879850834,9.375541184962167,9.395156250412713,9.32319740639223,9.275026559264031,9.132718283140015,9.01357204961415,8.89763500373489,8.846196124625092,8.74039646187542,8.582762732671952,8.468039377402949,8.335573311139092,8.141735413032126,8.039851767487596,7.94808087306626,7.83701741090527,7.89661289630804,7.9189806234581415,7.968409821705247,8.018608343348982,8.146680028737666,8.226930311676718,8.311945397904307,8.47686783973657,8.624110070220972,8.722197531780324,8.832543731071688,8.876800802220007,8.864401034852243,8.853183174762835,8.855279962017525,2.3064205478846853,2.319438456538787,2.372466159326611,2.382254406545615,2.3748424772133814,2.3584882216981744,2.3573665956675676,2.3004926011842346,2.229495157818045,2.1681573985820872,2.052901940027083,1.952659816680339,1.898143067374464,1.7362020329447982,1.632470993313036,1.4895942437031706,1.4019865673456966,1.287264847348418,1.0911378759936545,0.8888364097628556,0.6727770717620125,0.47809399353469617,0.2722749741991588,0.02738502052538072,-0.10436580538400198,-0.24496487943203027,-0.410852376332836,-0.5327920002235174,-0.7296050362401507,-0.8267388349520737,-0.901880366688691,-0.9617739806564827,-0.9241953421636622,-0.8214993222379181,-0.7729810753036557,-0.6718351153083355,-0.46564425330515746,-0.24355281101413073,-0.057098719638684736,0.07086168641867152,0.303047614960257,0.5098467687026804,0.6426545730010964,0.6731136868285922,0.8068601529613799,0.8019514981329299,0.8488852076487298,5.170311891693614,1.2963134745168143,W,"(2.235, 5.364]"
757,3.7605331864810307,3.9053274856158384,4.606767947953572,5.223857465253398,5.725694233093438,6.061176083328009,6.351667614683953,6.651752604666403,6.92006342035864,7.236686758841003,7.556565817346562,7.864819416736767,8.13816551196631,8.453645847238706,8.665004668504311,8.784521635732535,9.077204895687153,9.291758063195275,9.451141424302882,9.674442112183907,9.826055127927544,9.924895368505378,10.066747651148303,10.196687140670376,10.28403795117443,10.431990915270521,10.48984053133044,10.530770742141732,10.574441183006371,10.61059997911498,10.647534593514013,10.603320794049031,10.68457003568258,10.849839840725508,10.941756021914644,10.966671116693355,11.057692487886616,11.164780339124775,11.172625748789985,11.298210656215817,11.356088081016122,11.470946860966915,11.424325450246366,11.493643410029371,11.509975248157737,11.446521751995665,11.44205762580328,-0.9134314174037046,-0.8909682329334407,-0.7066990045341139,-0.6876838404773777,-0.7581459880300478,-0.8378144895852873,-0.8880691896396513,-0.9352934393948016,-0.982058671817363,-0.9879150221487158,-1.0037640101583412,-0.9919792213023295,-0.985286878524148,-1.0404469679522275,-1.0979569720201185,-1.2357608550065415,-1.3265035947584396,-1.3865683206546562,-1.5427372506433326,-1.5778318666537876,-1.7406170122079994,-1.8466367979648188,-1.9514142258044327,-2.119339772114722,-2.1397867117844678,-2.2277276868262987,-2.2925652478117016,-2.415721092984348,-2.491290736624242,-2.59912677001933,-2.626540049990827,-2.6688117094624135,-2.6757210218349377,-2.5728561872657654,-2.619480969592572,-2.565349774177737,-2.4778638327532923,-2.363668486366506,-2.318399718420306,-2.2855290652319153,-2.140925450352478,-2.0490186534465495,-1.9769120420086193,-1.9864188029153673,-1.9145243224737671,-1.954194280359031,-2.0188257041404567,2.9223065786480964,1.1607833960308667,W,"(2.235, 5.364]"
840,9.276418239176149,9.42590304193183,9.648926307134332,9.87990289892198,10.137995540290495,10.335630662778918,10.446460894430704,10.544857033901074,10.612992953535699,10.712599882056953,10.819608970893665,10.831037837703386,10.80643723026106,10.885468973838403,10.952183679316928,10.943933443094267,11.043554889547945,11.096278049504669,11.175316542784605,11.245488376542085,11.230040735296836,11.252355937497365,11.246805288611245,11.279148825174428,11.333521639262047,11.40095900186451,11.42572139141358,11.333926390155666,11.440434066336007,11.488799762437091,11.503000570051132,11.477364275549984,11.511494067677248,11.714117933396032,11.6828729350995,11.707943666893703,11.711901591859228,11.70417615705302,11.567372930752478,11.548376896977052,11.530205030170453,11.525500929874386,11.547562486484757,11.505990862463374,11.519505999596259,11.449724166503145,11.388620201553719,-1.7564434149566854,-1.723669708166138,-1.7386090074085883,-1.7951183289288521,-1.964708020639561,-1.9418665767034669,-1.9419236623788652,-1.898187223118403,-1.8968840936058857,-1.871927292501819,-1.8610789807279424,-1.8481237182525767,-1.8040126583654548,-1.7682381803736442,-1.658019367121228,-1.6428614212343868,-1.4805600201111426,-1.3191773185361755,-1.1777619904626588,-1.0214392423261764,-0.8967502994953716,-0.7503613134165357,-0.6171987207142595,-0.4039570247067319,-0.18726435613154924,0.015500941875836949,0.33232366564379245,0.596776252913549,0.763108462183395,0.9849273352048752,1.1997856934480202,1.4297041264354868,1.650514690175521,1.9103575074151067,2.067433210744626,2.26267964108947,2.4413186939628035,2.6607524049526066,2.8290430589755937,2.911019368574272,3.0484566167380267,3.1372730143946495,3.357432468355694,3.4238813606599603,3.5641377907199683,3.5531607578026456,3.493408845497542,4.965330944463114,1.806108030239948,W,"(2.235, 5.364]"
846,8.488690282779874,8.645285812531299,8.87110330940015,9.061201835610813,9.262204437900056,9.509947867658223,9.68346007714646,9.815623990418857,9.958212011662678,10.000911515571726,10.089980517698155,10.17288171724528,10.166573743985069,10.218581443585688,10.265757992372986,10.202988350403217,10.212913723575666,10.184327968864768,10.141812562870722,10.101902940136695,9.99954122508041,9.902334471604632,9.801750497816734,9.741477326936444,9.675076186614323,9.56884582465202,9.508444513500628,9.260211767835045,9.252469557953676,9.088141169621782,8.934085413157192,8.695852388388088,8.634711252278567,8.634501977827604,8.500176582280861,8.379156008724362,8.207420466429479,8.083198398644994,7.809823783358174,7.702228041565614,7.617779734456585,7.490155072355635,7.5103466854556995,7.485359271739782,7.4169064523331,7.3388540643440425,7.295976479788569,-1.080051198512522,-1.025244583241853,-1.070855577904911,-1.1723995442883046,-1.2463038931271364,-1.303026459539319,-1.3468801827008243,-1.4274811395059244,-1.4971721229529247,-1.5377327729012,-1.6272752576193459,-1.660799167410059,-1.7340967705587285,-1.8404988492662029,-1.853211877795454,-1.927435441429548,-1.989746083262542,-2.0262829110087113,-2.0326035122375132,-2.0681427816483766,-2.191836607097681,-2.26959608916427,-2.313835026810821,-2.4320918188388725,-2.4417554194062046,-2.511806646419034,-2.5193515174918133,-2.603129760073987,-2.7045297703695184,-2.797881691889028,-2.9007826643586636,-2.9590998729221067,-3.029363898948615,-3.1020250274992804,-3.146174090313015,-3.2051766036816516,-3.27832498154324,-3.357246756683235,-3.389304104439759,-3.484146150438808,-3.537425435519557,-3.5542860518066663,-3.5373977174066003,-3.53595520879389,-3.510697045574216,-3.484012932871078,-3.500040472624126,3.9513808484344817,1.1902122061173084,W,"(2.235, 5.364]"
854,8.663462576298063,8.81628222391863,9.046589632538925,9.346137912164258,9.671533244831373,9.9262178565539,10.080880957786611,10.2332397202326,10.333779377053347,10.481350193133201,10.650279311655183,10.723296707610071,10.717142506271003,10.839709154759415,10.917015691933855,10.916390963887219,11.044971215800327,11.114103081629395,11.139470894615513,11.19194785331721,11.121304161198825,11.089605641363319,11.049678279724713,11.05755610755028,11.065606811070307,11.06517139044147,11.01633348996641,10.8766002860153,10.885140862511406,10.900378510236852,10.878659170361754,10.798404402941905,10.870115620839151,11.110023137678187,11.134211933761446,11.201906038455633,11.30784099982811,11.38849802001975,11.339506834371697,11.435088277140357,11.522306784795841,11.621289372334509,11.660028283112442,11.648226968885064,11.695958595250229,11.632041232533055,11.598694117694405,-2.1893559562742273,-2.174458957610269,-2.1878525525616546,-2.2632336802815396,-2.4672233540697626,-2.4832872183709775,-2.5130046624650215,-2.525551813506622,-2.562030526348538,-2.5852887911201985,-2.6205492963583623,-2.640022792417894,-2.5970565904473535,-2.623837724917679,-2.591246371889702,-2.6550415562468492,-2.5374000398490706,-2.4369446046684002,-2.425606665683779,-2.3714813779622372,-2.367099427631378,-2.3040117838885803,-2.2562792592988368,-2.158320797025541,-2.003647158353216,-1.8757944069923225,-1.6435761676483376,-1.4226980776576448,-1.326208272899473,-1.1317406063354711,-0.9260927976132389,-0.6901031676919085,-0.40265717364626474,0.011021918349957138,0.22390202584871943,0.5384987518620838,0.8886161199296437,1.3190668118657836,1.641885406692469,1.8637900944431314,2.2071132591621985,2.471035414369168,2.79604469138883,2.9007379536114364,3.152648500698195,3.1487345226515355,3.1120829127968284,4.037658478368428,1.4460437523009781,W,"(2.235, 5.364]"
